"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/03/2024","355,00","357,25","357,25","352,50","0,39K","-0,70%"
"26/03/2024","357,50","362,50","362,50","357,00","0,30K","-1,04%"
"25/03/2024","361,25","360,50","362,75","359,25","0,24K","0,84%"
"22/03/2024","358,25","354,00","358,75","353,25","0,52K","1,34%"
"21/03/2024","353,50","354,00","359,00","352,50","0,44K","0,07%"
"20/03/2024","353,25","359,00","360,75","352,75","0,66K","-0,91%"
"19/03/2024","356,50","360,00","362,50","356,25","0,40K","-0,56%"
"18/03/2024","358,50","366,25","366,50","358,00","0,42K","-1,98%"
"15/03/2024","365,75","368,25","372,25","363,75","0,24K","-5,00%"
"14/03/2024","385,00","385,00","385,00","385,00","0,00K","1,32%"
"13/03/2024","380,00","362,00","366,75","362,00","0,04K","0,07%"
"12/03/2024","379,75","363,00","364,25","360,00","0,05K","0,53%"
"11/03/2024","377,75","359,50","363,50","357,25","0,02K","2,16%"
"08/03/2024","369,75","369,75","369,75","369,75","","1,09%"
"07/03/2024","365,75","365,75","365,75","365,75","","0,62%"
"06/03/2024","363,50","363,50","363,50","363,50","","-1,36%"
"05/03/2024","368,50","368,50","368,50","368,50","","-1,73%"
"04/03/2024","375,00","365,00","366,00","362,50","0,00K","-0,86%"
"01/03/2024","378,25","384,75","385,00","384,75","0,02K","0,20%"
"29/02/2024","377,50","365,25","372,00","365,00","0,01K","0,67%"
"28/02/2024","375,00","370,00","379,75","370,00","0,10K","0,54%"
"27/02/2024","373,00","377,75","380,00","371,50","0,19K","-0,53%"
"26/02/2024","375,00","365,00","378,75","365,00","0,48K","2,88%"
"23/02/2024","364,50","363,00","367,75","359,75","0,44K","0,41%"
"22/02/2024","363,00","369,50","376,75","362,50","0,33K","-1,96%"
"21/02/2024","370,25","379,00","379,75","367,75","0,46K","-2,57%"
"20/02/2024","380,00","386,25","386,25","376,75","0,69K","-0,85%"
"16/02/2024","383,25","380,25","389,50","379,50","0,65K","0,26%"
"15/02/2024","382,25","377,50","384,75","377,25","0,22K","0,07%"
"14/02/2024","382,00","383,25","383,25","374,25","0,23K","0,07%"
"13/02/2024","381,75","379,75","384,00","378,25","0,22K","0,93%"
"12/02/2024","378,25","379,75","383,50","373,50","0,25K","0,80%"
"09/02/2024","375,25","376,25","380,75","375,00","0,19K","-0,92%"
"08/02/2024","378,75","381,00","384,25","372,00","0,43K","-0,98%"
